;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2009_2;217.82077894269696;4.673615774141836;;6.465811727847924;5.838091123150354;5.5340352074881025;;;;5.914166486420196;5.574474423726803;4.8079008231240845;6.855596069496727;0.6533187110638978;4.590404786382007
2010_1;175.7881060958406;5.105238051983205;;5.8137891050968955;6.141528715660773;6.534923429921804;;;;8.003327868225862;5.744052726839963;5.328433646837024;6.626855262046696;0.6991683609995372;5.267085772609858
2010_2;216.22971703712543;7.365403893073501;22.078189940624885;7.315031804806694;7.34427666694606;7.540918120354581;;;;6.279548356153344;;7.3272616783961695;7.184222270565506;;7.19718646469664
2011_1;192.0244002009017;6.003960238685556;20.885385987463884;6.93883304419731;6.548896486805321;6.4795075424133515;;;;8.194080461965296;;5.23501977819853;8.524436250592762;;5.478702918366419
2011_2;211.4395063005364;7.209972158072077;20.675401946476022;7.341763647842458;8.897232584932343;7.174374480614834;;;;5.36608876573259;;7.867663509879158;8.359629224281061;;5.722351143854428
2012_1;189.877054059836;5.952324285641415;20.899349496625224;5.637191516380098;7.470657980677549;8.089456671086719;;;;8.639115621315563;;5.674874888647414;8.170617145481032;;5.714314689386546
2012_2;211.60671654899238;5.765722547500496;20.232257039343423;6.489968854805267;6.559632530723912;5.655414585798779;;;;6.3362580940222255;;5.061293944433747;8.014076268271431;;4.537874517312796
2013_1;188.42241349377022;5.084713615058706;20.73913146081156;5.72190495091524;7.623910417036322;7.078952718335299;;;;8.355085525998746;;8.495217643225885;9.34960881422366;;6.586426066794353
2013_2;210.31956056569555;5.640328815670042;19.5987451175862;5.774516545567026;6.750781405996091;7.979150318641561;;;;6.0660002789255305;;5.294675270819295;7.251247088532793;;6.073513403404987
2014_1;181.54558886621612;5.479032643478172;20.646338916615573;7.542289273841218;6.8625748547628875;8.457520297777682;;;;7.651142703603152;;5.586675544173395;7.194942432360099;;6.323082084043235
